Item Name,Link,Price March 2021
teensy 3.2,(Mouser) 474-DEV-13736,€ 19.83
usb cable,(Mouser) 474-CAB-10215,€ 4.19
jumper wires,(Mouser) 474-PRT-00124,€ 5.04
breadboard fullsize,(Mouser) 474-PRT-12615,€ 5.04
Instrumentation amp AD622 x 2,https://www.digikey.pt/products/en?keywords=AD622ANZ,€ 12.36
Opamp x4,https://www.digikey.pt/products/en?keywords=lm358pe3,€ 0.94
Resistor assortment,https://www.sparkfun.com/products/10969,€ 10.56
Capacitor assortment (half of sparkfun one),https://www.sparkfun.com/products/13698,€ 10.56
Battery holder 2xAA to make +/- rails,https://www.digikey.pt/product-detail/en/adafruit-industries-llc/3858/1528-2706-ND/9658064,€ 1.59
2x battery AA,https://pt.farnell.com/energizer/e301594800/battery-alkaline-1-5v-aa/dp/3416694?st=battery%20aa,€ 2.65
LEDs (x5),https://pt.farnell.com/multicomp/mcl059purgw/led-5mm-hi-red-grn-16mcd-15mcd/dp/1581197,€ 1.00
Disposable contacts (x10)?,https://www.sparkfun.com/products/12969,€ 10.56
Electrode Wires,https://www.sparkfun.com/products/12970,€ 7.86
Audio to breadboard,https://www.sparkfun.com/products/11570,€ 3.35
Multimeter,https://pt.farnell.com/tenma/72-13440/dmm-handheld-manual-2000-count/dp/2887387?ost=2887387,€ 13.46
Webcam,,€ 15.96
Picoscope 2204A with probes,https://pt.farnell.com/pico-technology/picoscope-2204a/oscilloscope-pc-10mhz-with-awg/dp/2365425?ost=2365425,€ 129.00
